Date,Open,High,Low,Close,Adj Close,Volume,name
2024-06-03,38.83000183105469,38.93000030517578,38.439998626708984,38.58000183105469,37.51127243041992,43454500,PETR4.SA
2024-06-04,38.400001525878906,38.43000030517578,37.70000076293945,38.150001525878906,37.09318542480469,34090200,PETR4.SA
2024-06-05,38.2599983215332,38.43000030517578,38.06999969482422,38.20000076293945,37.14179992675781,18627100,PETR4.SA
2024-06-06,38.279998779296875,38.720001220703125,38.27000045776367,38.380001068115234,37.31681442260742,25944100,PETR4.SA
2024-06-07,38.220001220703125,38.470001220703125,36.86000061035156,36.939998626708984,35.91670227050781,46003600,PETR4.SA
2024-06-10,37.189998626708984,38.060001373291016,37.119998931884766,37.5,36.46118927001953,32560900,PETR4.SA
2024-06-11,37.810001373291016,38.0,37.5,37.65999984741211,36.616756439208984,31131300,PETR4.SA
2024-06-12,36.95000076293945,37.04999923706055,35.61000061035156,35.81999969482422,35.81999969482422,52182400,PETR4.SA
2024-06-13,35.900001525878906,36.189998626708984,34.849998474121094,35.459999084472656,35.459999084472656,46233500,PETR4.SA
2024-06-14,35.4900016784668,35.5,34.150001525878906,34.68000030517578,34.68000030517578,53534900,PETR4.SA
2024-06-17,34.40999984741211,35.130001068115234,34.27000045776367,34.810001373291016,34.810001373291016,40941800,PETR4.SA
2024-06-18,34.88999938964844,36.13999938964844,34.81999969482422,35.900001525878906,35.900001525878906,36180700,PETR4.SA
2024-06-19,35.900001525878906,36.119998931884766,35.56999969482422,35.93000030517578,35.93000030517578,20776200,PETR4.SA
2024-06-20,36.220001220703125,36.88999938964844,36.20000076293945,36.5,36.5,39442900,PETR4.SA
2024-06-21,36.54999923706055,36.959999084472656,36.380001068115234,36.689998626708984,36.689998626708984,43340200,PETR4.SA
2024-06-24,36.84000015258789,37.060001373291016,36.47999954223633,37.060001373291016,37.060001373291016,24599400,PETR4.SA
2024-06-25,37.04999923706055,37.119998931884766,36.7599983215332,37.029998779296875,37.029998779296875,18572600,PETR4.SA
2024-06-26,36.79999923706055,37.119998931884766,36.709999084472656,37.09000015258789,37.09000015258789,25553200,PETR4.SA
2024-06-27,37.5099983215332,37.959999084472656,37.31999969482422,37.709999084472656,37.709999084472656,37731000,PETR4.SA
